X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
81.1707299408428,12.2844481971637,wind_191,4.6,212.53323441135208,-231.61,-239.26,0.94,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-135.930775278192
81.2609656613807,12.301748041468,wind_192,7.5,176.46789840810283,-43.41,-330.16,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-172.509619139931
81.3512161181865,12.3190167658176,wind_193,12.5,347.4894758732449,-9.84,332.85,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-1.69333427209521
81.4414345241383,12.3362496033654,wind_194,8.9,170.19099122103177,-6.11,-332.94,0.79,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-178.9486456397
80.0707326568032,12.1645317623302,wind_195,6.6,184.75611690935,-92.94,-319.77,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-163.793683890846
79.9808125674409,12.1468956558303,wind_196,5.1,304.9115425199406,-233.76,237.16,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-44.5863368182158
80.2509303491727,12.1997859200429,wind_197,13.7,179.59173040794536,-63.06,-326.97,0.77,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-169.083864145516
80.1607845690622,12.1821643088791,wind_198,13.7,181.18444202456067,-72.44,-325.03,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-167.435734099171
80.3410865209867,12.2173765228073,wind_199,8.9,346.4364860828976,-14.72,332.67,0.69,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-2.53357410021137
80.4321839991382,11.3000235153483,wind_2,3.3,293.4338819756485,-275.48,187.09,0.96,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-55.8179325344596
80.0546793843779,11.3190585776807,wind_20,4.7,233.70567831222823,-303.18,-137.74,0.94,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-114.433132649454
80.5214436344444,12.2524620470841,wind_200,1.0,270.4397633820191,-326.38,66.08,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-78.5544189298235
80.4312590969198,12.2349333479493,wind_201,1.8,331.9273565394748,-99.13,317.9,0.93,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-17.3189207691486
80.6116367849378,12.2699629076793,wind_202,6.7,223.3693313668894,-272.94,-190.77,0.98,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-124.951424788369
80.7018372089302,12.2874362617831,wind_203,5.6,216.57341667969413,-248.39,-221.79,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-131.761995703745
80.7920540015191,12.3048774399177,wind_204,12.1,196.87724366751803,-158.18,-293.03,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-151.639462219362
80.8822811849693,12.322285091115,wind_205,16.3,187.3395779180232,-106.46,-315.52,0.8,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-161.355025993941
80.972519633315,12.3396649612837,wind_206,10.9,189.97708960918817,-120.97,-310.25,0.79,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-158.698624633934
81.0627692803436,12.357016980398,wind_207,10.9,190.2072441204191,-122.09,-309.81,0.78,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-158.491580101433
81.1530293239959,12.3743408853467,wind_208,6.0,181.9947946457388,-75.62999999999998,-324.3,0.83,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-166.872679992995
